MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0.2,3,-0.19047619047619047,-0.25407608695652173,1,3,3,0,4,0,5,2,2,0,5,0.5,0.0,0.6521739130434783,0.24324324324324326,1,1,12,13,1,1.180722891566265,2,4,2,2,3,3,2,0.45279045279045277,5,0.0,-0.5598290598290598,-0.26965174129353237,1,0,1,4,-0.4536082474226804,1.1730769230769231,0.0,0.38006952491309387,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0,6,-1.0,-1,1,0.5609756097560976,1,0.0,0.2815734989648033,4,4,2,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,0.0,8,4,12.24769911637256
-0.6,3,0.5238095238095238,0.030014822134387352,1,3,3,0,2,0,24,1,2,0,2,0.0,3.0,0.06521739130434782,-0.4864864864864865,1,1,8,8,2,0.0,3,4,1,2,3,1,0,0.8346788346788346,5,0.0,-0.33076923076923076,0.5383084577114428,1,0,1,4,0.3436426116838488,0.0,0.0,-0.3120896098879876,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,6,0.0,4,1,-0.0975609756097561,1,0.0,-0.08281573498964803,4,4,2,1.7738095238095237,-0.36764705882352944,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5,8,4,12.109016442313738
0.2,3,-0.047619047619047616,0.4376235177865613,1,0,3,0,4,0,5,2,2,0,5,0.5,0.0,0.6086956521739131,0.21621621621621623,1,1,12,13,1,0.9759036144578314,2,4,2,2,3,2,2,0.14391014391014392,5,0.0,-0.07435897435897436,-0.14228855721393036,1,0,1,4,-0.32793323514973,1.1895604395604396,0.0,0.4974893781382773,1.0,0.0,0.0,1.0,0.0,0.0,2,0.0,6,0.0,4,1,0.5121951219512195,1,0.0,0.5300207039337475,4,4,2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,4,12.317171167298682
0.4,3,-0.42857142857142855,0.017663043478260868,1,0,3,0,0,0,6,2,2,0,5,0.5,0.0,-1.2608695652173914,-0.6486486486486487,1,1,13,15,2,0.0,3,4,0,3,1,3,0,-0.23517023517023516,5,0.0,0.10683760683760683,-0.46865671641791046,1,2,1,4,-0.24742268041237114,1.0384615384615385,0.0,0.39088451139436076,1.0,0.0,-1.0,0.0,0.0,0.0,2,0.5,6,0.0,2,5,0.43902439024390244,2,1.0,0.6708074534161491,4,4,2,0.0,0.14705882352941177,272.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,8,0,11.849404844423074
0.2,3,0.7142857142857143,1.1812005928853755,1,0,3,0,2,0,15,2,2,0,5,1.0,0.0,0.5869565217391305,0.16216216216216217,1,1,12,13,1,2.108433734939759,2,4,2,2,3,0,2,0.3811863811863812,5,0.0,0.021367521367521368,0.3054726368159204,1,0,1,4,0.11389297987236131,1.4464285714285714,0.0,1.134028582464272,1.0,0.0,0.0,1.0,1.0,0.0,2,1.5,6,0.0,4,1,0.4878048780487805,1,1.0,1.474120082815735,4,4,2,1.1428571428571428,0.8676470588235294,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,4,12.429220196836383
0.0,3,0.7619047619047619,1.1453804347826086,1,0,3,0,4,0,11,2,2,0,0,-0.5,0.0,0.43478260869565216,0.02702702702702703,1,1,12,13,2,0.0,3,4,5,2,3,3,2,0.4892944892944893,5,0.0,-0.7068376068376069,-0.3890547263681592,1,0,1,4,-0.5714285714285714,0.7774725274725275,0.0,-0.15758980301274622,1.0,0.0,-1.0,1.0,-2.0,0.0,3,-0.5,6,-1.0,-1,1,0.3170731707317073,2,0.0,0.0,4,4,2,0.23809523809523808,0.07352941176470588,0.0,320.0,0.0,0.0,700.0,1.3333333333333333,0.5,8,4,11.870606902224587
-0.6,3,0.2857142857142857,0.1495800395256917,1,3,3,0,4,0,21,2,2,0,2,1.0,0.0,0.6739130434782609,0.2972972972972973,1,1,12,13,3,1.1204819277108433,2,4,2,0,3,0,2,1.3836433836433837,5,0.0,-0.2743589743589744,1.382089552238806,1,0,1,4,1.191948944526264,0.0,0.0,0.3553495558130552,1.0,0.0,0.0,0.0,0.0,0.0,2,0.5,6,0.0,2,1,0.5853658536585366,1,0.0,0.6459627329192547,4,4,2,1.5178571428571428,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.5,8,4,12.634606283893019
0.2,3,0.049998017525078375,0.22319664031620554,1,0,3,0,0,0,14,4,2,0,5,0.5,1.0,0.0,-0.5675675675675675,1,1,6,6,3,1.4457831325301205,3,4,1,2,3,2,0,0.6676026676026676,1,32.0,-0.44700854700854703,0.2298507462686567,1,0,1,4,0.039273441335297005,1.3502747252747254,0.0,0.9671687910390112,1.0,0.0,0.0,1.0,0.0,0.0,3,0.5,6,1.0,4,1,-0.17073170731707318,1,0.0,0.016563146997929608,4,4,2,1.3988095238095237,2.6323529411764706,228.0,0.0,0.0,0.0,350.0,1.6666666666666667,0.5,8,4,12.206077645517674
0.0,4,-0.8571428571428571,-0.8296689723320159,1,3,3,0,4,0,17,0,2,0,0,0.5,0.0,-0.9130434782608695,-1.1891891891891893,1,1,3,15,2,0.0,3,4,0,3,3,3,5,-0.5384345384345385,5,0.0,0.8111111111111111,-0.07860696517412935,1,2,1,1,-0.12763868433971526,1.032967032967033,0.0,0.47894940131324837,0.0,0.0,0.0,0.0,-1.0,1.0,3,1.0,2,1.0,4,5,-1.1951219512195121,2,0.0,-0.049689440993788817,1,4,2,0.5357142857142857,-0.36764705882352944,205.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,8,0,11.774527900858468
2.8,3,-0.9047619047619048,-0.5085227272727273,1,3,3,0,0,0,3,0,0,1,1,-0.5,1.0,-0.7391304347826086,-1.1891891891891893,1,1,8,8,2,0.0,3,4,0,3,3,3,2,0.6563706563706564,5,0.0,-0.5769230769230769,-0.0009950248756218905,1,0,1,4,-0.019636720667648502,0.0,0.0,-0.5979142526071842,1.0,0.0,-1.0,0.0,-1.0,1.0,3,-0.5,6,1.0,4,1,-1.0,1,-1.0,-1.1387163561076605,2,4,2,0.0,-0.3088235294117647,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,0.0,8,4,11.678448377988165
-0.6,3,0.047619047619047616,0.42527173913043476,1,3,3,0,4,0,19,2,2,0,2,-0.5,0.0,-0.17391304347826086,-0.7837837837837838,3,1,6,6,2,0.0,3,4,1,3,3,3,4,0.7335907335907336,5,0.0,-0.5871794871794872,0.09651741293532339,1,0,1,4,-0.09229258713794797,0.0,0.0,-0.6550791811510236,1.0,0.0,-1.0,0.0,0.0,0.0,3,-0.5,6,-1.0,-1,5,-0.36585365853658536,2,-1.0,-0.39751552795031053,4,4,2,0.0,-0.36764705882352944,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,0.0,8,4,11.771443882099637
0.2,3,0.7619047619047619,0.6041254940711462,1,0,3,0,4,0,16,2,2,0,5,1.5,0.0,0.6956521739130435,0.32432432432432434,3,1,14,15,3,1.7228915662650603,0,4,2,0,3,3,2,0.8627588627588627,5,0.0,-0.5136752136752136,0.36517412935323385,1,0,1,4,0.18654884634266078,1.5686813186813187,0.0,1.3286983391270761,1.0,0.0,1.0,0.0,1.0,0.0,0,2.5,6,1.0,2,3,0.6097560975609756,0,1.0,1.060041407867495,4,4,2,0.875,-0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-1.0,6,5,12.75130259456002
-0.6,3,0.049998017525078375,0.8620306324110671,1,1,3,0,4,0,19,2,2,0,2,-0.5,1.0,-0.2391304347826087,-0.8648648648648649,3,1,6,10,2,0.0,3,4,1,3,3,3,0,0.4963144963144963,5,0.0,-0.5170940170940171,-0.1582089552238806,1,4,1,4,-0.3436426116838488,0.0,0.0,-0.8528389339513326,1.0,0.0,-1.0,0.0,-1.0,0.0,3,-1.0,6,-1.0,-1,5,-0.43902439024390244,2,-1.0,-0.5300207039337475,4,4,2,0.8333333333333334,-0.36764705882352944,0.0,0.0,176.0,0.0,0.0,1.0,0.0,8,4,11.87757552297847
